# GuessSync E68 «Guess the Coffee or Tea Drink» — image attributions (Wikimedia Commons)
# format: slug|name|author|license|source_url
espresso|Espresso|Takeaway|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Crema_espresso_Akha_Ama.jpg
cappuccino|Cappuccino|Frettie|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Cappuccino_with_latte_art_on_Coffee_Right_in_Brno,_Brno-City_District.jpg
latte|Latte|B adger1|CC0|https://commons.wikimedia.org/wiki/File:Caffe_Latte_at_Pulse_Cafe.jpg
americano|Americano|Firzafp|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:A_cup_of_Americano_in_Lano_Coffee_(Palembang,_SS).jpg
macchiato|Macchiato|Takeaway|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Espresso_macchiato_Chiang_Mai.JPG
mocha|Mocha|Andy Welsher|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:White_chocolate_mocha_coffee.jpg
flatwhite|Flat White|GeorgeMichaelFarewell|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Flat_white_coffee_with_pretty_feather_pattern.jpg
cortado|Cortado|Stefanik|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Cortado_gwyn.jpg
icedcoffee|Iced Coffee|Tony Webster|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Iced_Coffee_in_Glass_-_Sunshine_Coffee_-_Laramie_Cafe_(53838344552).jpg
frappe|Frappé|Ivan Radic|CC BY 2.0|https://commons.wikimedia.org/wiki/File:A_young_man_holding_a_glass_of_iced_coffee_at_home_at_sundown._Happy_hour_non-alcoholic_beverage.jpg
turkishcoffee|Turkish Coffee|Tema|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Turkish_coffee_in_Istanbul.jpg
coldbrew|Cold Brew|Sage Ross|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Preparation_of_cold_brew_coffee_06.jpg
greentea|Green Tea|The original uploader was Deathtiny42 at French Wikipedia.|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Three_mugs_of_brewed_Fukuju_green_tea.jpg
blacktea|Black Tea|Sm faysal|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:A_cup_of_black_tea_from_Srimangal_Bangladesh.jpg
matcha|Matcha|rumpleteaser from Nagoya, Japan|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Matcha_(5026245674).jpg
chai|Masala Chai|Gaurav Dhwaj Khadka|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Milk_Masala_Tea.jpg
bubbletea|Bubble Tea|Richy~zhwiki at Chinese Wikipedia|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Pearl_Milktea.jpg
