GuessSync E60 — «Guess the Cheese» — image attributions
Source: Wikimedia Commons. Each line: slug | cheese | author | license | source URL
======================================================================

cheddar | Cheddar | J.P.Lon | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Somerset-Cheddar.jpg
mozzarella | Mozzarella | Popo le Chien | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mozzarella_di_bufala3.jpg
parmesan | Parmesan | Dominik Hundhammer | GFDL / CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Kaasmerk_Parmigiano_reggiano_piece.jpg
brie | Brie | Coyau | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Brie_01.jpg
gouda | Gouda | No machine-readable author provided. Alpha.prim~commonswiki assumed (based on copyright claims). | Public domain | https://commons.wikimedia.org/wiki/File:Chesses_gouda_affinage.JPG
feta | Feta | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Feta_Greece_2.jpg
emmental | Swiss (Emmental) | Peachyeung316 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A_slice_of_Emmental_Cheese.jpg
bluecheese | Blue Cheese | Myrabella | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bleu_de_Gex.jpg
camembert | Camembert | Coyau | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Camembert_de_Normandie_(AOP)_10.jpg
creamcheese | Cream Cheese | Famartin | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2021-02-15_12_50_00_A_sample_of_Philadelphia_Cream_Cheese_in_the_Franklin_Farm_section_of_Oak_Hill,_Fairfax_County,_Virginia.jpg
ricotta | Ricotta | 8w9d | CC0 | https://commons.wikimedia.org/wiki/File:Ricotta_fresca_(Wiki_Loves_Sicilia).jpg
cottagecheese | Cottage Cheese | FASTILY (TALK) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Cottagecheese200px.jpg
halloumi | Halloumi | Rainer Zenz | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Halloumi-1.jpg
gruyere | Gruyère | Hubertl | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2015-01-25_Le_Gruy%C3%A8re_AOP_Bio_-_Der_Schweizer_-_WikiLovesCheese_Vienna_-_hu_-_7876.jpg
provolone | Provolone | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Provolone_Dolce.jpg
montereyjack | Monterey Jack | Frank Schulenburg | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Vella_Cheese_Young_Jack_(cropped).jpg
mascarpone | Mascarpone | Ramagliolo9 at Italian Wikipedia | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mascarpone_2.jpg
colby | Colby | Jeff the quiet | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Colby_Cheese.jpg
edam | Edam | Retired electrician | CC0 | https://commons.wikimedia.org/wiki/File:%D0%A1%D1%8B%D1%80_%D0%AD%D0%B4%D0%B0%D0%BC_%D0%98%D1%87%D0%B0%D0%BB%D0%BA%D0%B8_(Edamer_cheese,_Ichalki)_Oct_2025.jpg
