GuessSync E51 - "Guess the Space Object" - Image Attributions
100 real astronomy images sourced from NASA (public domain) and ESA/ESO/Wikimedia Commons.
NASA imagery is PUBLIC DOMAIN (no attribution legally required; credited anyway).
ESA/ESO/Commons files may be Public Domain, CC0, CC BY, or CC BY-SA - the lines below credit author + license.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
sun | The Sun | Matúš Motlo | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:The_Sun_in_white_light.jpg
moon | The Moon | Gregory H. Revera | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:FullMoon2010.jpg
earth | Earth | EUMETSAT | Attribution | https://commons.wikimedia.org/wiki/File:Meteosat-12-fci-march-equinox-2025-noon.jpg
mars | Mars | Kevin Gill from Los Angeles, CA, United States | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mars_-_August_30_2021_-_Flickr_-_Kevin_M._Gill.png
jupiter | Jupiter | NASA/STSCI (S.T.A.R.S) | Public domain | https://commons.wikimedia.org/wiki/File:Jupiter_OPAL_2024.png
saturn | Saturn | NASA / JPL-Caltech / SSI / color composite by Gordan Ugarkovic | Public domain | https://commons.wikimedia.org/wiki/File:Saturn_global_view_from_Cassini,_rings_open_Better_Colour.png
venus | Venus | NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington | Public domain | https://commons.wikimedia.org/wiki/File:Venus_2_Approach_Image.jpg
mercury | Mercury | NASA/Johns Hopkins University Applied Physics Laboratory/Arizona State University/Carnegie Institution of Washington | Public domain | https://commons.wikimedia.org/wiki/File:Mercury_in_true_color.jpg
uranus | Uranus | Ardenau4 | CC0 | https://commons.wikimedia.org/wiki/File:Uranus_Voyager2_color_calibrated.png
neptune | Neptune | NASA / Voyager 2 / PDS / OPUS / Ardenau4 | CC0 | https://commons.wikimedia.org/wiki/File:Neptune_Voyager2_color_calibrated.png
pluto | Pluto | NASA/Johns Hopkins University Applied Physics Laboratory/Southwest Research Institute/Alex Parker | Public domain | https://commons.wikimedia.org/wiki/File:Pluto_in_True_Color_-_High-Res.png
milkyway | The Milky Way | ESO/Y. Beletsky | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:ESO-VLT-Laser-phot-33a-07.jpg
solar-eclipse | Solar Eclipse | Luc Viatour | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Solar_eclipse_1999_4.jpg
iss | International Space Station | NASA | Public domain | https://commons.wikimedia.org/wiki/File:The_station_pictured_from_the_SpaceX_Crew_Dragon_5.jpg
hubble | Hubble Space Telescope | NASA | Public domain | https://commons.wikimedia.org/wiki/File:STS-109-HST-s109e5700.jpg
james-webb | James Webb Space Telescope | NASA | Public domain | https://commons.wikimedia.org/wiki/File:JWST_spacecraft_model_3.png
space-shuttle | Space Shuttle | NASA; edited by jjron (tilt corrected) | Public domain | https://commons.wikimedia.org/wiki/File:STS120LaunchHiRes-edit1.jpg
halleys-comet | Halley's Comet | NASA/W. Liller | Public domain | https://commons.wikimedia.org/wiki/File:Lspn_comet_halley.jpg
andromeda-galaxy | Andromeda Galaxy | Brody Wesner | CC0 | https://commons.wikimedia.org/wiki/File:Andromeda_Galaxy_2025.png
orion-nebula | Orion Nebula | NASA, ESA, M. Robberto (Space Telescope Science Institute/ESA) and the Hubble Space Telescope Orion Treasury Project Team | Public domain | https://commons.wikimedia.org/wiki/File:Orion_Nebula_-_Hubble_2006_mosaic_18000.jpg
great-red-spot | Great Red Spot | Kevin Gill from Los Angeles, CA, United States | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Jupiter_-_Great_Red_Spot_-_PJ7-60_61_62_-_Balanced_(49803032983).png
moon-landing | Apollo Moon Landing | Neil A. Armstrong | Public domain | https://commons.wikimedia.org/wiki/File:A_Man_on_the_Moon,_AS11-40-5903_(cropped).jpg
aurora | Aurora (from space) | United States Air Force photo by Senior Airman Joshua Strang | Public domain | https://commons.wikimedia.org/wiki/File:Aurora_borealis_over_Eielson_Air_Force_Base,_Alaska.jpg
saturn-v | Saturn V Rocket | NASA | Public domain | https://commons.wikimedia.org/wiki/File:Apollo_11_Launch_-_GPN-2000-000630.jpg
