GuessSync E67 - "Guess the Hat" - Image Attributions
100 real hat/headwear photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
==========================================================================================
baseballcap|Baseball Cap|Original photograph by TexasRebelDerivative version by ReneeWrites|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Baseball_cap.png
tophat|Top Hat|Cullen328|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:1910_top_hat.jpg
cowboyhat|Cowboy Hat|Michael Evans|Public domain|https://commons.wikimedia.org/wiki/File:Ronald_Reagan_with_cowboy_hat_12-0071M_edit.jpg
beret|Beret|John B. Stetson Hat Company|No restrictions|https://commons.wikimedia.org/wiki/File:Green_Wool_Beret_Made_by_the_John_B._Stetson_Company_-_DPLA_-_a53b7967e7bf680f9190c4f2ee31890d_(page_3).jpg
sombrero|Sombrero|لا روسا|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Mexican_Sombrero_00_(8).JPG
fedora|Fedora|Kjetil Ree|CC BY 2.5|https://commons.wikimedia.org/wiki/File:A_fedora_hat,_made_by_Borsalino.jpg
beanie|Beanie|Robert Lender from Vienna, Austria, postprocessed by Rosso Robot (cropped, colors enhanced).|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Blue_knit-cap_beanie_by_RobertLender.jpeg
bowlerhat|Bowler Hat|Peloponnesian Folklore Foundation|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Bowler_hat,_Vienna,_mid-20th_century.jpg
panamahat|Panama Hat|Hex|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Panama_hat.jpg
turban|Turban|Paramanu Sarkar|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Shepherd_from_Rajasthan_03.jpg
fez|Fez|Édouard Hue (User:EdouardHue)|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Fez.jpg
chefhat|Chef's Hat|Rafał Siciński|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Przepis_na_Sosnowiec.jpg
graduationcap|Graduation Cap|Jebulon|CC0|https://commons.wikimedia.org/wiki/File:Unacademic_graduate_HEC_Paris.jpg
partyhat|Party Hat|Hans-Günter Quaschinsky|CC BY-SA 3.0 de|https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-35290-0001,_Neujahrsfest.jpg
