GuessSync ANIMALS2 - "Guess the Animal v2" - Image Attributions
100 real animal photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source

hippo | Hippo | Muhammad Mahdi Karim | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Portrait_Hippopotamus_in_the_water.jpg
rhino | Rhino | Giles Laurent | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:075_White_rhinoceros_mother_and_her_newborn_baby_in_the_Kalahari_Desert_of_Namibia_Photo_by_Giles_Laurent.jpg
cheetah | Cheetah | AfricanConservation | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Male_cheetah_facing_left_in_South_Africa.jpg
leopard | Leopard | Sumeet Moghe | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:African_leopard_male_(cropped).jpg
jaguar | Jaguar | USFWS | Public domain | https://commons.wikimedia.org/wiki/File:Standing_jaguar.jpg
wolf | Wolf | User:Mas3cf | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Eurasian_wolf_2.jpg
fox | Fox | ClaudiaTen | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Portrait_of_a_red_fox_in_Rautas_fj%C3%A4llurskog_(cropped).jpg
deer | Deer | USDA photo by Scott Bauer | Public domain | https://commons.wikimedia.org/wiki/File:White-tailed_deer.jpg
moose | Moose | Paxson Woelber | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Alaska_moose.jpg
squirrel | Squirrel | JeffreyGammon | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:EasternGraySquirrel_GAm.jpg
mouse | Mouse | Dion Art | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:%D0%94%D0%BE%D0%BC%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BC%D1%8B%D1%88%D1%8C_(Mus_musculus),_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0.jpg
