# GuessSync E54 «Guess the Aircraft» — image attributions (Wikimedia Commons)
# All photos sourced from the aircraft's English Wikipedia lead image (Wikimedia Commons).
# Licenses are public-domain / CC0 / CC-BY / CC-BY-SA. Retrieved 2026-07-11.
# slug | name | author | license | url

boeing747 | Boeing 747 | Iberia Airlines | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:B-747_Iberia.jpg
a380 | Airbus A380 | Maarten Visser from Capelle aan den IJssel, Nederland | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:A6-EDY_A380_Emirates_31_jan_2013_jfk_(8442269364)_(cropped).jpg
concorde | Concorde | Eduard Marmet | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:British_Airways_Concorde_G-BOAC_03.jpg
boeing737 | Boeing 737 | File:South African Airlink Boeing 737-200 Smith.jpg: Montague Smith derivative work: Altair78 | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:South_African_Airlink_Boeing_737-200_Advanced_Smith.jpg
cessna172 | Cessna 172 | Peter Bakema | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:Cessna_172S_Skyhawk_SP,_Private_JP6817606.jpg
spitfire | Supermarine Spitfire | Airwolfhound | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Spitfire_-_Season_Premiere_Airshow_2018_(cropped).jpg
f16 | F-16 Fighting Falcon | Master Sgt. Andy Dunaway | Public domain | https://commons.wikimedia.org/wiki/File:F-16_June_2008.jpg
apache | AH-64 Apache | "Photo Courtesy of U.S. Army" - by Tech. Sgt. Andy Dunaway | Public domain | https://commons.wikimedia.org/wiki/File:AH-64D_Apache_Longbow.jpg
boeing777 | Boeing 777 | Aero Icarus from Zürich, Switzerland | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Cathay_Pacific_Boeing_777-200;_B-HNL@HKG.jpg
f22 | F-22 Raptor | F-22_Raptor.JPG: Master Sgt. Andy Dunaway | Public domain | https://commons.wikimedia.org/wiki/File:F-22_Raptor_edit1_(cropped).jpg
sr71 | SR-71 Blackbird | USAF / Judson Brohmer | Public domain | https://commons.wikimedia.org/wiki/File:Lockheed_SR-71_Blackbird.jpg
c130 | C-130 Hercules | U.S. Air Force photo by Tech. Sgt. Howard Blair | Public domain | https://commons.wikimedia.org/wiki/File:Lockheed_C-130_Hercules.jpg
chinook | CH-47 Chinook | Sgt. Steven Galimore | CC0 | https://commons.wikimedia.org/wiki/File:CH-47_assigned_to_3rd_General_Support_Aviation_Battalion,_82nd_Combat_Aviation_Brigade.jpg
fokkerdr1 | Fokker Dr.I | Collectie Van Beek | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Fokker_Dr.I_driedekker_2161_026221.jpg
f18 | F/A-18 Hornet | US Air Force | Public domain | https://commons.wikimedia.org/wiki/File:FA-18C_desert_refueling.jpg
b2spirit | B-2 Spirit | Royal Air Force | OGL v1.0 | https://commons.wikimedia.org/wiki/File:RAF_F-35B_integration_flying_training_with_USAF_B-2_30092019_-_4.jpg
a320 | Airbus A320 | Pedro Aragão | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Airbus_A320-214,_Airbus_Industrie_JP7617615.jpg
boeing787 | Boeing 787 Dreamliner | pjs2005 from Hampshire, UK | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Boeing_787_N1015B_ANA_Airlines_(27611880663)_(cropped).jpg
f35 | F-35 Lightning II | U.S. Air Force photo by Master Sgt. Donald R. Allen | Public domain | https://commons.wikimedia.org/wiki/File:F-35A_flight_(cropped).jpg
f14 | F-14 Tomcat | U.S. Navy photo | Public domain | https://commons.wikimedia.org/wiki/File:US_Navy_051105-F-5480T-005_An_F-14D_Tomcat_conducts_a_mission_over_the_Persian_Gulf-region.jpg
b52 | B-52 Stratofortress | Airman 1st Class Victor J. Caputo | Public domain | https://commons.wikimedia.org/wiki/File:B-52_Stratofortress_assigned_to_the_307th_Bomb_Wing_(cropped).jpg
p51 | P-51 Mustang | USAAF/361st FG Association (via Al Richards) | Public domain | https://commons.wikimedia.org/wiki/File:P-51-361.jpg
blackhawk | UH-60 Black Hawk | 147th Aviation Regiment | Public domain | https://commons.wikimedia.org/wiki/File:National-Guard-UH-60-Black-Hawk-operations-at-Fort-McCoy.jpg
wrightflyer | Wright Flyer | John T. Daniels | Public domain | https://commons.wikimedia.org/wiki/File:First_flight2.jpg
bf109 | Messerschmitt Bf 109 | Hebenstreit | CC BY-SA 3.0 de | https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_101I-662-6659-37,_Flugzeug_Messerschmitt_Me_109.jpg
a350 | Airbus A350 | Steve Lynes | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:EGLF_-_Airbus_A350-941_-_F-WZNW.jpg
boeing767 | Boeing 767 | Delta_Air_Lines_B767-300_N130DL.jpg: Richard Snyder from San Jose, CA, United States of America derivative work: Altair78 (talk) | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Delta_Air_Lines_B767-332_N130DL.jpg
boeing757 | Boeing 757 | 4300streetcar | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Delta_757-200_N713TW_on_final_approach_to_Boston_Dec_2024_2.jpg
boeing727 | Boeing 727 | Iberia Airlines | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:B-727_Iberia_(cropped).jpg
