GuessSync — «Guess the Landmark» v2 — image attributions (Wikimedia Commons, free licenses).
slug	name	author	license	source
arcdetriomphe	Arc de Triomphe	Jiuguang Wang	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Arc_de_Triomphe,_Paris_21_October_2010.jpg
empirestate	Empire State Building	Sam Valadi	Public domain	https://commons.wikimedia.org/wiki/File:Empire_State_Building_(aerial_view).jpg
stonehenge	Stonehenge	garethwiscombe	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Stonehenge2007_07_30.jpg
grandcanyon	Grand Canyon	Lennart Sikkema	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Canyon_River_Tree_(165872763).jpeg
everest	Mount Everest	Rdevany	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Mt._Everest_from_Gokyo_Ri_November_5,_2012.jpg
sphinx	Great Sphinx	Hesham Ebaid	CC0	https://commons.wikimedia.org/wiki/File:Sphinx_with_the_third_pyramid.jpg
parthenon	Parthenon	Steve Swayne	CC BY 2.0	https://commons.wikimedia.org/wiki/File:The_Parthenon_in_Athens.jpg
stpeters	St. Peter's Basilica	Alvesgaspar	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg
trevi	Trevi Fountain	NikonZ7II	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Trevi_Fountain_-_Roma.jpg
neuschwanstein	Neuschwanstein Castle	Thomas Wolf, www.foto-tw.de	CC BY-SA 3.0 de	https://commons.wikimedia.org/wiki/File:Schloss_Neuschwanstein_2013.jpg
towerbridge	Tower Bridge	Fuzzypiggy	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Tower_Bridge_at_Dawn.jpg
uluru	Uluru	Ek2030372672	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:ULURU.jpg
hollywood	Hollywood Sign	Gnaphron	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Hollywood_sign_(8485145044).jpg
buckingham	Buckingham Palace	Julian Herzog (Website)	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Buckingham_Palace_London_Morning_2020_01_(cropped).jpg
forbiddencity	Forbidden City	Pixelflake	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:The_Forbidden_City_-_View_from_Coal_Hill.jpg
terracotta	Terracotta Army	xiquinhosilva	CC BY 2.0	https://commons.wikimedia.org/wiki/File:51714-Terracota-Army.jpg
victoriafalls	Victoria Falls	Diego Delso	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cataratas_Victoria,_Zambia-Zimbabue,_2018-07-27,_DD_04.jpg
montsaintmichel	Mont Saint-Michel	Amaustan	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Mont-Saint-Michel_vu_du_ciel.jpg
burjalarab	Burj Al Arab	Ank Kumar	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Burj_Al_Arab_Hotel,_Dubai,_UAE_(Ank_Kumar,_Infosys)_07.jpg
cntower	CN Tower	Scott Webb scottwebb	CC0	https://commons.wikimedia.org/wiki/File:CN_Tower,_Toronto,_Canada_(Unsplash_DJ_kOgH5u0o).jpg
tokyotower	Tokyo Tower	Akonnchiroll	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Tokyo_Tower_2023.jpg
notredame	Notre-Dame	Ali Sabbagh	CC0	https://commons.wikimedia.org/wiki/File:Notre-Dame_de_Paris,_4_October_2017.jpg
whitehouse	The White House	DJTechYT	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:The_White_House_June_2024.jpg
timessquare	Times Square	Terabass	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:New_york_times_square-terabass.jpg
louvrepyramid	Louvre Pyramid	Iron Pedreira Alves from Madrid, España	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Louvre_and_Pyramid,_Paris_January_2014_002.jpg
colognecathedral	Cologne Cathedral	Raimond Spekking	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:K%C3%B6lner_Dom_-_Westfassade_2022_ohne_Ger%C3%BCst-0968_b.jpg
sacrecoeur	Sacre-Coeur	Tonchino	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Le_sacre_coeur.jpg
alhambra	Alhambra	Jebulon	CC0	https://commons.wikimedia.org/wiki/File:Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg
milancathedral	Milan Cathedral	Jiuguang Wang	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Milan_Cathedral_from_Piazza_del_Duomo.jpg
stmarks	St. Mark's Basilica	Zairon	Public domain	https://commons.wikimedia.org/wiki/File:Venezia_Basilica_di_San_Marco_Fassade_2.jpg
bluemosque	Blue Mosque	Pedro Szekely from Los Angeles, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Istanbul_(34223582516)_(cropped).jpg
sheikhzayed	Sheikh Zayed Mosque	Guilhem Vellut from Annecy, France	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Sheikh_Zayed_Grand_Mosque_@_Abu_Dhabi_(15856602738).jpg
goldentemple	Golden Temple	Shagil Kannur	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:The_Golden_Temple_of_Amrithsar_7.jpg
watarun	Wat Arun	Mastertongapollo	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:%E0%B9%80%E0%B8%88%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AD%E0%B8%A3%E0%B8%B8%E0%B8%932.jpg
merlion	Merlion	Unwicked	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Singapore_Skyline_2019-10.jpg
gardensbythebay	Gardens by the Bay	Shiny Things.	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Supertree_Grove,_Gardens_by_the_Bay,_Singapore_-_20120712-02.jpg
shwedagon	Shwedagon Pagoda	Bjørn Christian Tørrissen	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Shwedagon_Pagoda_2017.jpg
potala	Potala Palace	Lhasa Government	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Potala_Palace_HQ.jpg
himeji	Himeji Castle	Nikos Kitsakis	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Himeji_castle_in_may_2015.jpg
kinkakuji	Golden Pavilion	Nacaru	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Golden_Pavilion_Kinkaku-ji_2024.jpg
